trip_id,start_time,sunrise_date_time
2111,2013-06-05 15:15:37,2013-06-05 01:56:39
2112,2013-06-06 12:30:39,2013-06-06 01:55:46
2113,2013-06-07 12:48:49,2013-06-07 01:54:57
2114,2013-06-09 12:38:58,2013-06-09 01:53:32
2115,2013-06-10 01:41:27,2013-06-10 01:52:54
2118,2013-06-10 16:42:04,2013-06-10 01:52:55
2119,2013-06-11 11:48:13,2013-06-11 01:52:22
2122,2013-06-12 15:01:39,2013-06-12 01:51:54
2124,2013-06-14 01:10:21,2013-06-14 01:51:09
2126,2013-06-15 00:32:43,2013-06-15 01:50:54
2127,2013-06-15 13:44:42,2013-06-15 01:50:54
2128,2013-06-16 00:38:17,2013-06-16 01:50:42
2129,2013-06-16 14:12:29,2013-06-16 01:50:42
2130,2013-06-17 01:03:51,2013-06-17 01:50:35
2131,2013-06-17 14:56:58,2013-06-17 01:50:35
2132,2013-06-18 13:59:54,2013-06-18 01:50:33
2133,2013-06-19 12:39:19,2013-06-19 01:50:34
2134,2013-06-19 18:10:29,2013-06-19 01:50:35
2136,2013-06-20 01:42:29,2013-06-20 01:50:40
2137,2013-06-20 11:17:25,2013-06-20 01:50:40
2138,2013-06-21 13:53:11,2013-06-21 01:50:50
2139,2013-06-22 13:34:11,2013-06-22 01:51:06
2140,2013-06-23 13:20:33,2013-06-23 01:51:24
2142,2013-06-24 11:44:41,2013-06-24 01:51:48
2144,2013-06-25 10:57:39,2013-06-25 01:52:15
2145,2013-06-25 17:16:51,2013-06-25 01:52:15
2146,2013-06-26 01:38:41,2013-06-26 01:52:46
2149,2013-06-27 12:59:46,2013-06-27 01:53:22
2151,2013-06-28 12:01:37,2013-06-28 01:54:02
2152,2013-06-29 11:36:31,2013-06-29 01:54:45
2154,2013-06-30 14:27:06,2013-06-30 01:55:32
2155,2013-07-01 09:41:05,2013-07-01 01:56:25
2158,2013-07-02 12:16:20,2013-07-02 01:57:19
2159,2013-07-03 13:11:06,2013-07-03 01:58:18
2160,2013-07-04 03:15:12,2013-07-04 01:59:20
2161,2013-07-04 12:38:08,2013-07-04 01:59:20
2164,2013-07-05 14:21:15,2013-07-05 02:00:26
2165,2013-07-06 12:39:58,2013-07-06 02:01:35
2166,2013-07-07 14:18:17,2013-07-07 02:02:47
2167,2013-07-08 12:34:49,2013-07-08 02:04:04
2171,2013-07-10 14:00:55,2013-07-10 02:06:43
2172,2013-07-11 12:19:36,2013-07-11 02:08:07
2175,2013-07-13 11:53:41,2013-07-13 02:11:05
